City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Country,Event_gender,Medal
Montreal,1976,Aquatics,Diving,3m springboard,"KÖHLER, Christa",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Diving,3m springboard,"KOSENKOV, Aleksandr",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Diving,3m springboard,"BOGGS, Philip George",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Diving,3m springboard,"CAGNOTTO, Giorgio Franco",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Diving,10m platform,"WILSON, Deborah Keplar",Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"LOUGANIS, Gregory",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Diving,10m platform,"VAYTSEKHOVSKAYA, Elena",Women,URS,Soviet Union,W,Gold
Montreal,1976,Aquatics,Diving,3m springboard,"POTTER-MCINGVALE, Cynthia",Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"DIBIASI, Klaus",Men,ITA,Italy,M,Gold
Montreal,1976,Aquatics,Diving,10m platform,"ALEINIK, Vladimir",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"KNAPE-LINDBERGH, Ulrika",Women,SWE,Sweden,W,Silver
Montreal,1976,Aquatics,Diving,3m springboard,"CHANDLER, Jennifer Kay",Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,"SHAW, Timothy Andrew",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"PRIEMER, Petra",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,1500m freestyle,"HOLLAND, Stephen",Men,AUS,Australia,M,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"SMIRNOV, Andrei",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"ANKE, Hannelore",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,800m freestyle,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,800m freestyle,"THÜMER, Petra",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"SMITH, Rebecca",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,"ROCCA, Peter Drake",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"GOODELL, Brian Stuart",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,"MCKEE, Alexander Timothy",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"EVANS, Clayton",Men,CAN,Canada,M,Silver
Montreal,1976,Aquatics,Swimming,200m freestyle,"MONTGOMERY, James Paul",Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"VOGEL, Matthew Haynes",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,"MATTHES, Roland",Men,GDR,East Germany,M,Bronze
Montreal,1976,Aquatics,Swimming,100m backstroke,"NABER, John Phillips",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,"ROCCA, Peter Drake",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"KRAUS, Michael",Men,FRG,West Germany,M,Bronze
Montreal,1976,Aquatics,Swimming,200m freestyle,"BRIGITHA, Enith",Women,NED,Netherlands,W,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"DUNNE, David Michael",Men,GBR,United Kingdom,M,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"NABER, John Phillips",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"HEMPEL, Claudia",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"MAC DONALD, Gary",Men,CAN,Canada,M,Silver
